('tears', 3.8626609442060085)
('dribs', 3.871244635193133)
('trial', 3.8798283261802573)
('diest', 3.8798283261802573)
('trows', 3.88412017167382)
('traps', 3.888412017167382)
('canst', 3.888412017167382)
('trues', 3.888412017167382)
('altos', 3.892703862660944)
('dregs', 3.892703862660944)
('crate', 3.896551724137931)
('tries', 3.8969957081545066)
('riots', 3.8969957081545066)
('argot', 3.8969957081545066)
('prise', 3.8969957081545066)
('roast', 3.9012875536480687)
('goers', 3.9012875536480687)
('girls', 3.9055793991416308)
('brace', 3.9055793991416308)
('bloat', 3.9055793991416308)
('brats', 3.9055793991416308)
('dries', 3.9098712446351933)
('slate', 3.9098712446351933)
('spire', 3.9098712446351933)
('gloat', 3.9098712446351933)
('gorse', 3.9098712446351933)
('braes', 3.9098712446351933)
('trail', 3.9141630901287554)
('crept', 3.9141630901287554)
('dares', 3.9141630901287554)
('gores', 3.9141630901287554)
('doest', 3.9141630901287554)
('prats', 3.9141630901287554)
('pleas', 3.9184549356223175)
('drips', 3.9184549356223175)
('abort', 3.9184549356223175)
('gilds', 3.9184549356223175)
('bract', 3.9184549356223175)
('ghost', 3.92274678111588)
('boast', 3.92274678111588)
('broth', 3.92274678111588)
('bores', 3.92274678111588)
('plait', 3.92274678111588)
('legit', 3.92274678111588)
('delis', 3.92274678111588)
('brant', 3.92274678111588)
('toile', 3.92274678111588)
('blast', 3.927038626609442)
('cores', 3.927038626609442)
('tares', 3.927038626609442)
('orate', 3.927038626609442)
('liest', 3.927038626609442)
('trace', 3.9310344827586206)
('train', 3.9313304721030042)
('shout', 3.9313304721030042)
('tides', 3.9313304721030042)
('sober', 3.9313304721030042)
('pries', 3.9313304721030042)
('trios', 3.9313304721030042)
('sprat', 3.9313304721030042)
('grant', 3.9356223175965663)
('diets', 3.9356223175965663)
('toils', 3.9356223175965663)
('tripe', 3.9356223175965663)
('cruet', 3.9356223175965663)
('carps', 3.9356223175965663)
('trice', 3.9356223175965663)
('noels', 3.9356223175965663)
('deist', 3.9356223175965663)
('ascot', 3.9356223175965663)
('pairs', 3.939914163090129)
('orbit', 3.939914163090129)
('pears', 3.939914163090129)
('rinse', 3.939914163090129)
('lobes', 3.939914163090129)
('trans', 3.939914163090129)
('angst', 3.939914163090129)
('sherd', 3.939914163090129)
('drabs', 3.939914163090129)
('cants', 3.939914163090129)
('trips', 3.944206008583691)
('alert', 3.944206008583691)
('crest', 3.944206008583691)
('robes', 3.944206008583691)
('crabs', 3.944206008583691)
('douse', 3.944206008583691)
('talon', 3.944206008583691)
('brads', 3.944206008583691)
('ureas', 3.944206008583691)
('bears', 3.948497854077253)
('slope', 3.948497854077253)
('blade', 3.948497854077253)
('sport', 3.948497854077253)
('herds', 3.948497854077253)
('belts', 3.948497854077253)
('tonal', 3.948497854077253)
('swear', 3.948497854077253)
('crane', 3.948497854077253)
('teals', 3.948497854077253)
('leant', 3.948497854077253)
('riles', 3.948497854077253)
('craps', 3.948497854077253)
('groat', 3.948497854077253)
('tribs', 3.948497854077253)
('prest', 3.948497854077253)
('great', 3.9525862068965516)
('short', 3.9527896995708156)
('brush', 3.9527896995708156)
('craft', 3.9527896995708156)
('grace', 3.9527896995708156)
('carts', 3.9527896995708156)
('wares', 3.9527896995708156)
('spore', 3.9527896995708156)
('wraps', 3.9527896995708156)
('siren', 3.9527896995708156)
('hoist', 3.9527896995708156)
('glint', 3.9527896995708156)
('gales', 3.9527896995708156)
('stile', 3.9527896995708156)
('brans', 3.9527896995708156)
('brash', 3.9527896995708156)
('coast', 3.956896551724138)
('worse', 3.9570815450643777)
('beast', 3.9570815450643777)
('spear', 3.9570815450643777)
('frost', 3.9570815450643777)
('purse', 3.9570815450643777)
('sonar', 3.9570815450643777)
('heirs', 3.9570815450643777)
('snort', 3.9570815450643777)
('cures', 3.9570815450643777)
('grist', 3.9570815450643777)
('idles', 3.9570815450643777)
('anole', 3.9570815450643777)
('parse', 3.9570815450643777)
('blats', 3.9570815450643777)
('sware', 3.9570815450643777)
('alone', 3.961206896551724)
('shard', 3.961206896551724)
('place', 3.96137339055794)
('lines', 3.96137339055794)
('close', 3.96137339055794)
('least', 3.96137339055794)
('globe', 3.96137339055794)
('tails', 3.96137339055794)
('clues', 3.96137339055794)
('cares', 3.96137339055794)
('trash', 3.96137339055794)
('stale', 3.96137339055794)
('dials', 3.96137339055794)
('truce', 3.96137339055794)
('grids', 3.96137339055794)
('liars', 3.96137339055794)
('shred', 3.96137339055794)
('sidle', 3.96137339055794)
('dales', 3.96137339055794)
('reaps', 3.96137339055794)
('tabor', 3.96137339055794)
('bodes', 3.96137339055794)
('bries', 3.96137339055794)
('prate', 3.96137339055794)
('taels', 3.96137339055794)
('belch', 3.9655172413793105)
('boats', 3.9656652360515023)
('towns', 3.9656652360515023)
('chart', 3.9656652360515023)
('plate', 3.9656652360515023)
('arose', 3.9656652360515023)
('spare', 3.9656652360515023)
('tires', 3.9656652360515023)
('cones', 3.9656652360515023)
('scrap', 3.9656652360515023)
('bales', 3.9656652360515023)
('piers', 3.9656652360515023)
('snore', 3.9656652360515023)
('grate', 3.9656652360515023)
('canes', 3.9656652360515023)
('blare', 3.9656652360515023)
('blots', 3.9656652360515023)
('tiers', 3.9656652360515023)
('lairs', 3.9656652360515023)
('aloes', 3.9656652360515023)
('sired', 3.9656652360515023)
('loner', 3.9656652360515023)
('cruse', 3.9656652360515023)
('brent', 3.9656652360515023)
('treap', 3.9656652360515023)
('torsi', 3.9656652360515023)
('sower', 3.9698275862068964)
('hands', 3.9699570815450644)
('heart', 3.9699570815450644)
('toads', 3.9699570815450644)
('pants', 3.9699570815450644)
('prose', 3.9699570815450644)
('boils', 3.9699570815450644)
